iter	RMSE
0	1544230.787
1	1475465.104
2	1410407.815
3	1371126.199
4	1334860.7
5	1310740.429
6	1291716.723
7	1278269.312
8	1264534.759
9	1242596.233
10	1232089.208
11	1215720.727
12	1201007.519
13	1188988.649
14	1177579.545
15	1156887.913
16	1151995.97
17	1144913.34
18	1134234.882
19	1128709.512
20	1110128.497
21	1090562.694
22	1077713.587
23	1069676.37
24	1055363.272
25	1043969.645
26	1037117.551
27	1012511.62
28	998044.2495
29	990699.351
30	972026.5774
31	961061.0987
32	952437.6199
33	944484.137
34	930935.6209
35	920612.0266
36	913234.5691
37	903643.8638
38	894250.4378
39	888720.7707
40	882576.55
41	878972.5714
42	875787.4788
43	860689.6399
44	848975.1842
45	841704.6765
46	836557.0626
47	830641.6942
48	823643.2686
49	816710.8931
50	811774.7078
51	801857.9787
52	799102.2816
53	793008.3419
54	784165.7841
55	778680.0994
56	769624.7544
57	763771.3348
58	756122.3468
59	752210.522
60	748328.9925
61	743797.4202
62	740012.6224
63	735547.362
64	730416.2099
65	728492.0236
66	722895.3284
67	720098.0891
68	718178.4353
69	713892.9397
70	710634.2532
71	706572.354
72	702194.3084
73	699815.0494
74	697650.5765
75	693868.3053
76	689277.5851
77	685009.6337
78	679037.4616
79	676199.139
80	671604.644
81	666966.4897
82	662192.0348
83	655794.9712
84	650215.9885
85	647284.8359
86	643600.9462
87	639408.7697
88	634822.0016
89	632538.6892
90	631069.7617
91	626673.13
92	624237.9699
93	622218.0407
94	618950.6173
95	616235.1082
96	613638.5963
97	609548.0415
98	606315.5593
99	603973.8828
100	601318.9176
101	597727.733
102	594005.1403
103	591984.023
104	590387.2146
105	587291.3745
106	585090.0411
107	583488.3028
108	582116.2748
109	579253.5188
110	576620.4639
111	573859.7839
112	570262.2286
113	566371.2621
114	564213.3459
115	561166.6427
116	557956.6666
117	554347.9551
118	552548.2161
119	550856.1221
120	546828.939
121	542585.0623
122	540592.0802
123	535767.2998
124	534049.521
125	533018.5181
126	530923.1923
127	528412.5571
128	525872.8068
129	523941.6271
130	522158.9128
131	519640.4657
132	517921.7736
133	515163.4859
134	512979.4581
135	510921.4677
136	508770.6945
137	506828.9656
138	504542.5538
139	502111.2362
140	499728.8586
141	496713.2471
142	494897.9331
143	493430.1348
144	490328.9324
145	488904.195
146	487614.715
147	485924.6505
148	483865.6819
149	481909.7029
150	479472.7176
151	477394.8277
152	476422.417
153	473842.7771
154	471876.8826
155	471108.451
156	470075.3067
157	468236.7736
158	466755.3459
159	465296.2276
160	463821.7833
161	462136.6349
162	459737.5207
163	457371.0798
164	455928.8344
165	453886.9844
166	451984.9062
167	449118.9311
168	447377.2609
169	446360.8654
170	445216.0637
171	443114.2235
172	441152.2702
173	439688.8298
174	436991.0395
175	435498.0992
176	434153.7383
177	432972.9554
178	431442.0708
179	429647.3224
180	428106.6213
181	425882.5942
182	424374.8463
183	423620.7155
184	421986.4613
185	421125.347
186	419510.5527
187	418984.3044
188	417138.8368
189	416026.8683
190	414219.6045
191	412835.4172
192	411769.9321
193	410337.1627
194	408627.7783
195	407032.0911
196	405666.5919
197	404812.1351
198	403322.9837
199	401932.7661
200	400153.2702
201	399229.8825
202	397773.8509
203	397288.9389
204	396340.0552
205	395792.6807
206	394709.9162
207	393058.1761
208	392022.8017
209	390492.8895
210	389660.1569
211	388120.1223
212	387140.9283
213	386302.0714
214	385386.5948
215	384131.9242
216	382921.1462
217	381713.2714
218	380735.9004
219	379869.1134
220	379175.9462
221	378561.4817
222	378035.8754
223	376735.3931
224	376272.9195
225	374854.185
226	373691.7245
227	373111.7094
228	371485.6494
229	371077.9449
230	369926.5882
231	368494.5202
232	367236.6787
233	365704.0921
234	365119.6964
235	364259.0204
236	363112.1978
237	361667.0212
238	360425.9064
239	359486.2416
240	358736.3215
241	357636.3967
242	356536.117
243	355351.1124
244	354502.6512
245	353559.7737
246	352401.0641
247	351773.7474
248	351046.9359
249	350080.2373
250	349110.9702
251	347833.699
252	346451.2466
253	345444.3096
254	344629.901
255	343692.417
256	343362.5112
257	342534.404
258	341778.8658
259	340581.9256
260	339109.9666
261	338628.8805
262	338091.9245
263	337292.8963
264	336752.4703
265	335730.0364
266	335303.9758
267	333536.3404
268	332811.1361
269	331784.132
270	330806.6616
271	330023.4958
272	329255.4106
273	328570.9695
274	327135.3198
275	326438.5313
276	325980.8251
277	325321.6276
278	324733.9948
279	323913.9272
280	323170.4882
281	322482.0025
282	321468.7023
283	320592.045
284	320246.424
285	319801.0715
286	319442.0653
287	318795.4477
288	318383.0942
289	317478.5799
290	316363.0966
291	315901.2164
292	315110.0853
293	314564.092
294	313612.1639
295	312925.1808
296	312728.7561
297	312449.3332
298	311890.616
299	311086.367
300	310421.7059
301	309457.6327
302	308514.4436
303	307090.8354
304	306815.7796
305	306222.7927
306	305000.8077
307	304420.2801
308	303395.5659
309	302687.3669
310	302148.9636
311	301852.7171
312	301136.7276
313	300534.4779
314	299252.239
