,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,3,Сыктывкар-1,"Первомайская, 85",2011-10-06,"{'lat': 61.66572, 'long': 50.83164}",Сыктывкар,188,368,35,6,34,2,271,21,38,105,3,6,22,0,3,0,0,0,0,0,4,3,0,0,1,5,0,0,0,0,0,0,1,0,0,0
1,5,Сыктывкар-2,"Славы, 18/1",2012-05-03,"{'lat': 61.782461, 'long': 50.753933}",Сыктывкар,13,28,0,0,5,0,82,0,1,22,1,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,7,Ухта-3,"Ленина, 47",2012-07-17,"{'lat': 63.568312, 'long': 53.657755}",Ухта,34,92,2,1,10,0,0,4,4,16,0,0,5,0,0,0,0,0,0,0,16,1,0,0,0,3,0,3,1,0,3,0,1,0,0,0
3,9,Смоленск-1,"Петра Алексеева, 2а",2012-08-28,"{'lat': 54.761031, 'long': 32.102222}",Смоленск,15,92,45,0,1,3,0,6,5,23,0,0,1,0,0,0,0,0,0,1,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
4,16,Самара-1,"Самара-1, Победы 99",2012-11-06,"{'lat': 53.214312, 'long': 50.252401}",Самара,661,781,140,38,11,2,225,182,9,8,1,13,54,0,12,1,0,0,0,5,33,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0
5,17,Сарапул-1,Сарапул,2012-11-03,"{'lat': 56.476065, 'long': 53.814655}",Сарапул,46,76,1,0,0,0,8,9,0,6,0,1,12,0,0,0,0,0,0,0,6,0,0,0,0,4,0,1,0,0,1,0,4,0,0,0
6,18,Челябинск-1,"Воровского, 60",2012-11-14,"{'lat': 55.142175, 'long': 61.375784}",Челябинск,250,551,194,59,34,4,20,530,38,62,1,9,23,0,41,0,0,0,0,1,72,0,0,0,6,10,3,1,0,0,71,0,4,2,0,0
7,21,Белгород-1,Белгород-1,2012-12-12,"{'lat': 50.574676, 'long': 36.569652}",Белгород,39,485,83,51,28,3,192,33,60,169,0,6,26,0,2,0,0,0,0,0,34,1,0,1,1,1,0,9,1,0,0,1,5,0,0,0
8,24,Смоленск-2,"Октябрьской Революции, 24",2013-04-10,"{'lat': 54.772603, 'long': 32.042664}",Смоленск,13,72,43,3,7,3,18,22,9,36,1,1,1,1,2,0,0,0,0,0,34,0,0,0,8,7,0,4,2,0,51,0,1,0,0,0
9,27,Октябрьский-1,"Ленина, 33",2013-12-26,"{'lat': 54.483922, 'long': 53.47838}",Октябрьский (респ. Башкортостан),62,163,1,0,13,2,2,24,2,4,0,1,16,0,0,0,0,0,0,1,8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
10,28,Самара-2,"Самара-2, Губанова 6",2013-07-17,"{'lat': 53.24846, 'long': 50.214171}",Самара,176,825,254,136,3,3,18,138,8,83,1,9,34,0,3,1,0,0,0,2,25,2,0,1,3,9,0,2,1,0,0,0,2,0,0,0
11,29,Сыктывкар-3,"Петрозаводская, 21/1",2013-10-23,"{'lat': 61.693098, 'long': 50.815216}",Сыктывкар,145,151,12,13,5,0,51,3,13,51,1,3,9,0,0,0,0,0,0,0,3,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0
12,31,Ульяновск-1,Киндяковка,2013-09-19,"{'lat': 54.257307, 'long': 48.321448}",Ульяновск,121,291,109,7,1,0,0,13,0,68,1,0,13,0,0,0,0,0,0,0,6,4,0,0,1,7,0,3,0,0,10,0,0,0,0,0
13,34,Таганрог-1,Таганрог (Петровская),2014-02-22,"{'lat': 47.212989, 'long': 38.932454}",Таганрог,22,58,1,0,9,0,13,33,0,17,0,4,10,0,7,0,0,0,0,1,24,0,0,2,2,9,0,2,0,0,1,0,6,1,0,0
14,36,Долгопрудный-1,"Долгопрудный, Дирижабельная",2014-02-15,"{'lat': 55.945473, 'long': 37.50796}",Долгопрудный,100,194,19,98,13,1,32,63,6,171,1,1,16,0,10,0,0,0,0,0,25,2,0,0,6,4,0,1,0,0,2,0,0,1,0,0
15,44,Энгельс-1,Энгельс,2014-03-31,"{'lat': 51.478278, 'long': 46.135928}",Энгельс,2,66,66,11,2,1,1,11,7,80,0,0,21,0,0,0,0,0,0,0,25,2,0,4,1,8,0,2,1,0,2,0,2,0,0,0
16,46,Красноярск-1,"Красноярск-1, Карамзина 20А",2014-04-14,"{'lat': 55.988648, 'long': 92.852395}",Красноярск,88,559,88,90,2,5,5,51,44,51,9,4,25,0,14,1,0,0,0,0,20,0,0,0,0,3,0,2,3,0,0,0,4,0,0,0
17,48,Абакан-1,Абакан,2014-04-27,"{'lat': 53.726474, 'long': 91.435228}",Абакан,100,271,21,5,6,2,38,19,2,226,0,1,9,1,0,1,0,1,0,0,26,1,0,0,2,10,0,0,2,0,1,0,2,3,0,0
18,49,Гатчина-1,Додо на Соборной,2014-12-13,"{'lat': 59.565323, 'long': 30.128711}",Гатчина,134,317,7,0,12,0,25,16,4,30,0,0,10,0,4,0,0,7,0,0,13,1,0,0,1,4,0,0,1,0,6,0,3,0,0,0
19,63,Нижнекамск-1,Нижнекамск-1,2014-11-03,"{'lat': 55.628262, 'long': 51.80166}",Нижнекамск,0,38,39,0,1,1,1,1,3,3,0,0,18,0,1,0,0,0,0,0,4,2,0,0,1,5,0,2,0,0,1,0,1,0,0,0
