,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
0,601,601,1214,Омск-5,Омск - Мира 7А,2021-08-13,"{'lat': 55.023934, 'long': 73.297658}",Омск,79,711,113,60,13,1,21,33,20,220,0,5,27,1,19,1,0,0,0,0,11,4,0,0,1,4,0,1,0,0,1,0,0,0,0,0
1,602,602,1216,Южно-Сахалинск-2,Карла Маркса,2021-03-26,"{'lat': 46.957599, 'long': 142.730944}",Южно-Сахалинск,280,716,48,13,9,15,8,151,12,155,0,12,25,0,6,0,0,1,0,0,9,3,0,1,7,14,0,4,2,0,6,0,5,0,0,0
2,603,603,1229,Лыткарино-1,Лыткарино,2021-05-06,"{'lat': 55.577918, 'long': 37.910279}",Лыткарино,24,8,2,15,0,0,116,7,0,12,0,0,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,604,604,1230,Новосибирск-14,"ул. Богдана Хмельницкого, д.1",2022-11-24,"{'lat': 55.06654, 'long': 82.934183}",Новосибирск,254,657,111,145,13,3,21,90,78,118,5,4,61,2,4,0,1,2,0,3,36,2,0,0,12,17,0,3,1,0,67,0,2,1,0,0
4,605,605,1231,Красноярск-5,"Красноярск-5, 78-й Добровольческой Бригады 23",2021-10-13,"{'lat': 56.047198, 'long': 92.901961}",Красноярск,164,341,468,215,13,4,8,61,35,237,13,3,28,0,6,0,0,0,0,0,33,4,0,0,4,6,1,1,1,0,0,0,1,0,0,0
5,606,606,1235,Омск-6,Омск –Кирова 53,2022-01-19,"{'lat': 54.942894, 'long': 73.425569}",Омск,163,485,68,12,11,0,2,14,9,54,0,3,16,0,0,0,0,0,0,0,8,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0
6,607,607,1236,Лангепас-1,Юбилейное,2021-07-17,"{'lat': 61.24598, 'long': 75.177614}",Лангепас,2,71,0,0,0,5,2,22,5,67,4,2,7,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
7,608,608,1246,Ростов-на-Дону-7,Пушкинская,2021-05-02,"{'lat': 47.227537, 'long': 39.724274}",Ростов-на-Дону,135,190,61,74,3,5,59,38,22,54,2,13,24,0,9,0,0,0,0,1,64,3,0,0,0,9,0,10,1,0,2,0,3,0,0,0
8,609,609,1248,Санкт-Петербург 5-2,Рыбацкое,2021-09-23,"{'lat': 59.834103, 'long': 30.515492}",Санкт-Петербург,18,27,55,46,2,0,1,1,1,7,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0
9,610,610,1249,Кинешма-1,Кинешма,2021-08-13,"{'lat': 57.441677, 'long': 42.169327}",Кинешма,8,15,0,0,1,0,0,7,0,3,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
10,611,611,1250,Саратов-6,ТЦ Город,2021-08-21,"{'lat': 51.541388, 'long': 45.990077}",Саратов,124,483,135,32,34,1,38,91,19,165,4,11,50,0,65,0,0,0,0,1,20,0,0,0,12,18,1,6,1,0,2,0,6,1,0,0
11,612,612,1251,Москва 2-3,Крылатское,2021-08-01,"{'lat': 55.759307, 'long': 37.408871}",Москва,11,80,39,129,1,0,1,2,6,26,1,1,20,2,2,0,0,0,0,0,5,0,0,1,0,2,0,3,1,0,1,0,0,0,0,0
12,613,613,1256,Полевской-1,Полевской,2021-11-16,"{'lat': 56.505216, 'long': 60.264728}",Полевской,6,29,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13,614,614,1257,Ижевск-4,"ул. Гагарина, д. 27",2021-06-25,"{'lat': 56.802377, 'long': 53.186608}",Ижевск,88,32,5,9,1,0,29,36,0,37,0,2,4,1,1,0,0,0,0,1,5,2,0,0,3,8,0,0,0,0,0,0,1,0,0,0
14,615,615,1261,Иркутск-4,ТЦ СмайлМолл,2021-08-02,"{'lat': 52.351488, 'long': 104.150153}",Иркутск,60,240,17,27,0,0,22,10,3,8,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15,616,616,1264,Новороссийск-3,Южная 24,2021-07-10,"{'lat': 44.676735, 'long': 37.793658}",Новороссийск,35,60,10,50,1,0,63,12,0,40,0,1,4,0,0,0,1,0,0,0,14,1,0,0,1,6,0,2,1,0,1,0,0,0,0,0
16,617,617,1265,Томск-3,"Ленина, 97",2021-07-15,"{'lat': 56.481862, 'long': 84.949436}",Томск,339,442,102,31,43,13,442,74,81,303,11,5,24,1,58,3,0,0,0,0,98,2,0,0,14,21,0,3,2,0,9,0,3,0,0,0
17,618,618,1266,Пермь-3,Садовый,2022-06-25,"{'lat': 58.005224, 'long': 56.30589}",Пермь,167,601,114,97,8,4,15,65,29,71,8,6,37,0,10,2,2,3,0,0,43,4,0,0,0,3,0,0,1,0,62,1,3,0,0,0
18,619,619,1267,Пермь-4,Балатово,2021-11-13,"{'lat': 57.974396, 'long': 56.170801}",Пермь,341,875,168,159,13,3,9,71,40,74,2,3,36,1,11,0,1,0,0,0,18,6,0,0,1,4,0,0,0,0,4,0,1,0,0,0
19,620,620,1269,Ставрополь-3,Центр,2021-07-25,"{'lat': 45.046113, 'long': 41.973537}",Ставрополь,168,347,74,12,24,1,52,155,11,27,0,1,30,3,26,0,0,0,0,0,22,0,0,0,4,9,0,4,1,0,1,0,0,1,0,0
20,621,621,1271,Курск-2,"Курск-2, Бойцов 9 Дивизии 185а ",2021-10-22,"{'lat': 51.726568, 'long': 36.138685}",Курск,237,475,112,86,13,0,37,7,6,17,0,3,11,0,0,0,0,339,0,0,241,1,0,1,11,3,0,1,1,0,5,0,2,0,0,0
21,622,622,1273,Новый Уренгой-3,Новый Уренгой,2021-09-12,"{'lat': 66.099286, 'long': 76.674345}",Новый Уренгой,6,185,5,0,3,5,0,9,36,24,0,0,15,0,1,0,0,0,0,1,4,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0
22,623,623,1274,Голицыно-1,Голицыно,2021-12-03,"{'lat': 55.616, 'long': 36.982122}",Голицыно,29,67,21,26,0,1,24,33,3,97,0,0,4,0,0,0,0,0,0,0,4,1,0,2,3,7,0,2,0,0,0,0,1,0,0,0
23,624,624,1275,Урай-1,Урай,2021-12-18,"{'lat': 60.128969, 'long': 64.792939}",Урай,166,197,0,0,2,6,0,13,23,43,9,1,5,0,0,0,0,0,0,0,11,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0
24,625,625,1276,Мурманск-2,"Баумана, 18",2021-09-27,"{'lat': 68.912062, 'long': 33.086955}",Мурманск,6,127,10,0,9,0,1,16,3,8,0,1,17,0,0,0,0,7,0,0,6,0,0,0,2,2,0,2,1,0,0,0,0,0,0,1
25,626,626,1278,Волгоград-4,"Волгоград-4, Красноармейский",2021-10-12,"{'lat': 48.514463, 'long': 44.537187}",Волгоград,409,358,18,13,0,0,6,3,4,22,0,0,16,0,1,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,2,0,22,0,0,0
26,627,627,1279,Тюмень-6,Европейский,2022-01-22,"{'lat': 57.169004, 'long': 65.563532}",Тюмень,87,364,100,118,11,6,12,75,18,48,8,6,30,0,15,2,0,1,0,2,71,1,0,0,2,6,0,2,0,0,3,0,2,0,0,0
27,628,628,1280,Ухта-1,Ухта,2021-08-25,"{'lat': 63.561829, 'long': 53.683968}",Ухта,36,92,2,1,10,0,0,5,6,18,0,0,6,0,0,0,0,0,0,0,16,1,0,0,0,4,0,3,1,0,3,0,1,0,0,0
28,629,629,1281,Уфа-4,Уфа-4. Дёма,2021-08-23,"{'lat': 54.701816, 'long': 55.827862}",Уфа,20,14,11,13,1,0,3,6,0,4,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29,630,630,1282,Азов-1,Азов,2021-10-06,"{'lat': 47.110413, 'long': 39.425451}",Азов,76,156,8,0,1,0,6,104,17,103,2,2,16,1,1,0,0,0,0,0,18,1,0,0,3,17,0,2,0,0,0,0,1,0,0,0
30,631,631,1283,Казань-7,Приволжский район,2021-10-06,"{'lat': 55.746132, 'long': 49.189867}",Казань,73,687,219,144,47,6,0,42,13,135,3,7,40,0,4,0,0,0,0,1,17,1,0,0,5,1,0,0,0,0,1,0,0,2,0,0
31,632,632,1285,Мытищи-3,"ЖК ""Мытищи Лайт""",2021-10-01,"{'lat': 55.963411, 'long': 37.668805}",Мытищи,13,10,0,0,0,1,1,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,633,633,1290,Тамбов-3,Коммунальная,2021-10-28,"{'lat': 52.722746, 'long': 41.450531}",Тамбов,218,371,43,10,6,2,25,166,33,55,0,4,22,0,5,0,0,0,0,2,19,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0
33,634,634,1291,Краснодар-12,Западный обход 39/2 строение 1,2021-10-01,"{'lat': 45.09376, 'long': 38.906098}",Краснодар,48,103,20,33,1,1,2,13,9,11,0,0,6,0,0,0,0,0,0,0,2,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0
34,635,635,1292,Чебоксары-4,ЮЗР,2022-12-26,"{'lat': 56.11938, 'long': 47.186741}",Чебоксары,64,402,91,35,15,0,5,14,17,52,0,1,21,3,14,0,0,6,0,0,12,4,0,0,3,9,0,1,0,0,0,0,1,0,0,0
35,636,636,1294,Москва 0-25,ТЦ Prime Plaza,2021-10-13,"{'lat': 55.656357, 'long': 37.56936}",Москва,5,543,159,176,11,4,2,28,54,44,1,0,63,0,4,0,1,0,0,0,22,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
36,637,637,1295,Улан-Удэ-2,"Улан-Удэ-2 Ключевская, 40",2022-03-14,"{'lat': 51.82107, 'long': 107.634319}",Улан-Удэ,9,24,10,6,2,1,47,11,0,10,0,8,24,0,9,0,0,0,0,0,33,0,0,0,0,4,0,3,0,0,3,0,4,0,0,0
37,638,638,1297,Щелково-3,Свердловский,2022-01-11,"{'lat': 55.901909, 'long': 38.149249}",Свердловский,20,24,29,6,1,2,0,1,0,9,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0
38,639,639,1298,Сланцы-1,Ул. Ленина 14,2022-11-19,"{'lat': 59.117491, 'long': 28.089555}",Сланцы,53,130,2,0,2,0,18,4,10,23,1,1,6,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,640,640,1301,Сыктывкар-7,"Станционная, 160/3",2021-12-01,"{'lat': 61.641554, 'long': 50.811389}",Сыктывкар,224,346,30,0,37,2,266,25,40,108,3,8,20,0,3,0,0,0,0,0,5,3,0,0,0,6,0,0,0,0,0,0,2,0,0,0
40,641,641,1302,Печора-1,Печора,2022-02-11,"{'lat': 65.13093, 'long': 57.162784}",Печора,105,172,0,0,1,4,418,22,2,112,0,1,11,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
41,642,642,1303,Руза-1,Руза,2022-03-05,"{'lat': 55.70459, 'long': 36.192027}",Руза,9,30,4,0,0,1,4,5,2,3,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
